ID|Title|Publishers|Year_North_America|Year_JP|Category|Description
130|Bishoujo Senshi Sailor Moon SuperS – Zenin Sanka!! Shuyaku Soudatsusen|Angel| |1996| |"Bishoujo Senshi Sailor Moon SuperS – Zenin Sanka!! Shuyaku Soudatsusen is a fighting game developed and published by Angel. It was released in Japan on March 29, 1996."
131|Bishoujo Wrestlinger's History: Beauty Girl Wrestling|KSS| |1996| |"Bishoujo Wrestlinger's History: Beauty Girl Wrestling is a wrestling video game developed by Nihon Soft System and published by KSS. It was released in Japan on March 29, 1996."
132|Blackthorne•BlackhawkEU|Interplay Entertainment|1994|1995| |"Blackthorne•BlackhawkEU is an action-adventure video game developed by Blizzard Entertainment and published by Interplay Entertainment. It was released in Japan on August 11, 1995, and in North America on September 1994."
133|BlaZeon: The Bio-Cyborg Challenge|Atlus|1992|1992| |"BlaZeon: The Bio-Cyborg Challenge is a shoot 'em up video game developed by AI and published by Atlus. It was released in Japan on July 24, 1992, and in North America on October 27, 1992."
134|Block Kuzushi|Planning Office Wada| |1995| |"Block Kuzushi is a puzzle video game developed by OeRSTED and published by Planning Office Wada. It was released in Japan on November 17, 1995."
135|The Blue Crystal Rod|Namco| |1994| |"The Blue Crystal Rod is an action-adventure video game developed by Game Studio and published by Namco. It was released in Japan on March 25, 1994."
136|Blue Legend Shoot!|KSS| |1994| |"Blue Legend Shoot! is a sports video game developed by Affect and published by KSS. It was released in Japan on December 16, 1994."
137|The Blues Brothers|Titus Software|1993|1993| |"The Blues Brothers is a platformer video game developed and published by Titus Software. It was released in Japan on March 26, 1993, and in North America on June 1, 1993."
138|Bomberman B-Daman|Hudson Soft| |1996| |"Bomberman B-Daman is an action video game developed by A.I. and published by Hudson Soft. It was released in Japan on December 20, 1996."
139|Boogerman: A Pick and Flick Adventure|Interplay Entertainment|1995| | |"Boogerman: A Pick and Flick Adventure is a platformer video game developed and published by Interplay Entertainment. It was released in North America on September 15, 1995, and in the PAL region on January 25, 1996."
140|Bounty Sword|Pioneer LDC|Unreleased|1995||
141|Boxing Legends of the Ring•Chavez IIMX•Final KnockoutJP|Electro Brain|1993|1993||
142|Brain Lord|Enix|1994|1994|"Brain Lord is an action role-playing game where the player controls the main character Remeer as he explores dungeons, solves puzzles, and battles enemies to uncover the mystery of his past."
143|The Brainies|Titus Software|1996||1996|"The Brainies is a puzzle game where players must guide cute creatures called Brainies through various obstacles to reach their spaceship and return home."
144|Bram Stoker's Dracula|Sony Imagesoft|1993||1993|"Bram Stoker's Dracula is a platformer based on the movie of the same name, where players control Jonathan Harker as he battles through Transylvania to defeat Count Dracula."
145|Brandish|Koei|1995|1994||
146|Brandish 2: The Planet Buster|Koei|Unreleased|1995||
147|Brandish 2 Expert|Koei|Unreleased|1996||
148|Brawl Brothers †•Brawl Brothers: Rival Turf! 2EU•Rushing Beat Ran: Fukusei ToshiJP|Jaleco|1993|1992||
149|BreakThru!|Spectrum HoloByte|1994||||
150|Breath of Fire|Capcom (JP)Square (NA)|1994|1993||
151|Breath of Fire II|Capcom (JP and NA)Laguna GmbH (EU)|1995|1994|1996|"Breath of Fire II is a role-playing game where players control a group of characters on a quest to save the world from an ancient evil, featuring turn-based battles and a deep storyline."
152|Brett Hull Hockey|Accolade|1994||1994||
153|Brett Hull Hockey '95|Accolade|1994||||
154|Bronkie the Bronchiasaurus|Raya Systems|1995||||
155|Brunswick World: Tournament of Champions|THQ|1997||||
156|Brutal: Paws of Fury•Brutal: Animal BurandenJP|GameTek|1994|1994|1994|"Brutal: Paws of Fury is a fighting game featuring anthropomorphic animal characters battling in various arenas using martial arts moves and special attacks."
157|Bubsy in Claws Encounters of the Furred Kind•Yamaneko Bubsy no DaiboukenJP|Accolade|1993|1993|1993|"Bubsy in Claws Encounters of the Furred Kind is a platformer where players control Bubsy the bobcat as he jumps and glides through levels to defeat enemies and collect items."
158|Bubsy II|Accolade|1994||1994|"Bubsy II is a platformer sequel where players once again control Bubsy as he embarks on a new adventure filled with platforming challenges and enemies to overcome."
159|Bugs Bunny Rabbit Rampage•Bakkusu Banī Hachamecha DaibōkenJP|Sunsoft|1994|1994|1994|"Bugs Bunny Rabbit Rampage is a side-scrolling action game where players control Bugs Bunny as he navigates through various levels inspired by classic Looney Tunes cartoons."
160|Bulls vs. Blazers and the NBA Playoffs•NBA Pro Basketball: Bulls vs BlazersJP|Electronic Arts|1992|1992|Sports|"Bulls vs. Blazers and the NBA Playoffs is a basketball video game featuring NBA teams. Compete in the playoffs and lead your team to victory."
161|Burai: Hachigyoku no Yuushi Densetsu|IGS|Unreleased|1993|Role-playing|"Burai: Hachigyoku no Yuushi Densetsu is a role-playing game set in a fantasy world. Embark on an epic quest and battle formidable foes."
162|Bushi Seiryuuden: Futari no Yuusha|T&E Soft|Unreleased|1997|Action-adventure|"Bushi Seiryuuden: Futari no Yuusha is an action-adventure game where players control two heroes on a quest to save the kingdom. Explore dungeons and defeat monsters."
163|Bust-a-Move•Puzzle BobbleEU|Taito|1995|1995|Puzzle|"Bust-a-Move, also known as Puzzle Bobble, is a classic puzzle game where players aim and shoot bubbles to create matches and clear the board. Test your skills in this addictive game."
164|Cacoma Knight in Bizyland•Cacoma KnightJP|SETA|1993|1992|Action|"Cacoma Knight in Bizyland is an action game where players navigate mazes and solve puzzles to progress. Use unique abilities to overcome obstacles and defeat enemies."
165|Cal Ripken Jr. Baseball|Mindscape|1992|Unreleased|Sports|"Cal Ripken Jr. Baseball is a sports game featuring the legendary baseball player. Step up to the plate, swing for the fences, and experience the thrill of America's favorite pastime."
166|California Games 2|DTMC|1993|1993|Sports|"California Games 2 is a sports game featuring various outdoor activities. Compete in surfing, skateboarding, and other events to become the ultimate champion."
167|Cannon Fodder|Virgin Interactive|Unreleased|1994|Action|"Cannon Fodder is a military-themed action game where players control a squad of soldiers on dangerous missions. Strategize, command your troops, and complete objectives to succeed."
168|Cannondale Cup|American Softworks (Cannondale Cup)  and  Life Fitness Entertainment (Mountain Bike Rally)|November 1994 (Mountain Bike Rally re-release February 1995)|Unreleased|Racing|"Cannondale Cup is a racing game that simulates the excitement of mountain biking. Compete in thrilling races and test your skills on challenging tracks."
169|Capcom's MVP Football|Capcom|1993|Unreleased|Sports|"Capcom's MVP Football is a sports game that puts players in the cleats of football legends. Take the field, call the plays, and lead your team to victory in this gridiron showdown."
170|Capcom's Soccer Shootout •Soccer ShootoutEU•J. League Excite Stage '94JP|Epoch Co. (JP)Capcom (NA and EU)|1994|1994|Sports|"Capcom's Soccer Shootout is a soccer simulation game that captures the excitement of the sport. Compete in intense matches, score goals, and lead your team to glory."
171|Captain America and The Avengers|Mindscape|1993|Unreleased|Action|"Captain America and The Avengers is an action-packed game featuring iconic Marvel superheroes. Join forces with Captain America, Iron Man, and others to battle evil and save the world."
172|Captain Commando|Capcom|1995|1995|Action|"Captain Commando is a classic beat 'em up game where players take on the role of a superhero fighting against crime. Use powerful attacks and special moves to defeat enemies."
173|Captain Novolin|Raya Systems|1992|Unreleased|Action|"Captain Novolin is an educational game designed to raise awareness about diabetes. Help the superhero manage his blood sugar levels and overcome challenges."
174|Captain Tsubasa III: Koutei no Chousen|Tecmo|Unreleased|1992|Sports|"Captain Tsubasa III: Koutei no Chousen is a soccer game based on the popular anime and manga series. Lead your team to victory on the field and become a soccer champion."
175|Captain Tsubasa IV: Pro no Rival Tachi|Tecmo|Unreleased|1993|Sports|"Captain Tsubasa IV: Pro no Rival Tachi continues the soccer adventures of Tsubasa Ozora. Experience intense matches, powerful shots, and dramatic moments on the pitch."
176|Captain Tsubasa V: Hasha no Shōgō Campione|Tecmo|Unreleased|1994|Sports|"Captain Tsubasa V: Hasha no Shōgō Campione is a soccer simulation game that follows the journey of Tsubasa Ozora. Train hard, compete in tournaments, and aim to be the best in the world."
177|Captain Tsubasa J: The Way to World Youth|Bandai|Unreleased|1995|Sports|"Captain Tsubasa J: The Way to World Youth is a soccer game based on the popular anime series. Join Tsubasa and his teammates as they strive for victory on the international stage."
178|Caravan Shooting Collection|Hudson Soft|Unreleased|1995|Shooter|"Caravan Shooting Collection is a compilation of shooting games that test players' reflexes and accuracy. Blast through waves of enemies and aim for high scores in this intense genre."
